"year","jurisdiction","cause_subgroup","deaths"
"2015","Missouri","Diabetes","1477"
"2015","Missouri","Cerebrovascular diseases","3183"
"2015","Missouri","Renal failure","1525"
"2015","Missouri","Malignant neoplasms","13422"
"2015","Missouri","Ischemic heart disease","8552"
"2015","Missouri","Influenza and pneumonia","1366"
"2015","Missouri","Heart failure","2243"
"2015","Missouri","Other diseases of the respiratory system","1600"
"2015","Missouri","Alzheimer disease and dementia","4850"
"2015","Montana","Alzheimer disease and dementia","845"
"2015","Montana","Cerebrovascular diseases","208"
"2015","Montana","Chronic lower respiratory disease","559"
"2015","Montana","Heart failure","26"
"2015","Montana","Influenza and pneumonia","11"
"2015","Montana","Malignant neoplasms","2108"
"2015","Montana","Other diseases of the circulatory system","545"
"2015","Montana","Ischemic heart disease","1145"
"2015","Montana","Diabetes","46"
"2015","Nebraska","Ischemic heart disease","1853"
"2015","Nebraska","Alzheimer disease and dementia","1756"
"2015","Nebraska","Other diseases of the circulatory system","1285"
"2015","Nebraska","Hypertensive diseases","108"
"2015","Nebraska","Heart failure","345"
"2015","Nebraska","Chronic lower respiratory disease","1169"
"2015","Nebraska","Cerebrovascular diseases","748"
"2015","Nebraska","Malignant neoplasms","3526"
"2015","Nebraska","Influenza and pneumonia","175"
"2015","Nebraska","Other diseases of the respiratory system","100"
"2015","Nebraska","Diabetes","322"
"2015","Nevada","Renal failure","22"
"2015","Nevada","Ischemic heart disease","3376"
"2015","Nevada","Hypertensive diseases","802"
"2015","Nevada","Alzheimer disease and dementia","1509"
"2015","Nevada","Heart failure","171"
"2015","Nevada","Influenza and pneumonia","541"
"2015","Nevada","Malignant neoplasms","4970"
"2015","Nevada","Other diseases of the circulatory system","2195"
"2015","Nevada","Other diseases of the respiratory system","38"
"2015","Nevada","Diabetes","136"
"2015","Nevada","Cerebrovascular diseases","1145"
"2015","Nevada","Chronic lower respiratory disease","1648"
"2015","New Hampshire","Diabetes","37"
"2015","New Hampshire","Other diseases of the respiratory system","23"
"2015","New Hampshire","Hypertensive diseases","11"
"2015","New Hampshire","Influenza and pneumonia","65"
"2015","New Hampshire","Malignant neoplasms","2625"
"2015","New Hampshire","Alzheimer disease and dementia","1346"
"2015","New Hampshire","Cerebrovascular diseases","163"
"2015","New Hampshire","Chronic lower respiratory disease","607"
"2015","New Hampshire","Ischemic heart disease","1393"
"2015","New Hampshire","Other diseases of the circulatory system","688"
